,sgd_lr,sgdhd_lr,sgdn_lr,sgdnhd_lr,adam_lr,adamhd_lr
0,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001
1,0.0001,0.017724014818668365,0.0001,0.018306994810700417,0.0001,0.015834815800189972
2,0.0001,0.01867804490029812,0.0001,0.01876923255622387,0.0001,0.014151131734251976
3,0.0001,0.019051451236009598,0.0001,0.01876818574965,0.0001,0.01308711338788271
4,0.0001,0.019198168069124222,0.0001,0.018729887902736664,0.0001,0.0114890793338418
5,0.0001,0.01930738426744938,0.0001,0.01870589330792427,0.0001,0.010107828304171562
6,0.0001,0.019319362938404083,0.0001,0.018787039443850517,0.0001,0.009756204672157764
7,0.0001,0.019302446395158768,0.0001,0.018716217949986458,0.0001,0.008959413506090641
8,0.0001,0.019292112439870834,0.0001,0.018689092248678207,0.0001,0.008360864594578743
9,0.0001,0.01929171197116375,0.0001,0.018689004704356194,0.0001,0.007611521985381842
10,0.0001,0.01928510144352913,0.0001,0.01864442601799965,0.0001,0.00686598289757967
11,0.0001,0.01924281381070614,0.0001,0.01864626444876194,0.0001,0.0059642787091434
12,0.0001,0.01921990141272545,0.0001,0.018605675548315048,0.0001,0.005427537951618433
13,0.0001,0.019206706434488297,0.0001,0.0185569915920496,0.0001,0.00468922546133399
14,0.0001,0.0191715769469738,0.0001,0.018521705642342567,0.0001,0.004200940020382404
15,0.0001,0.01910555176436901,0.0001,0.01848766952753067,0.0001,0.0034708804450929165
16,0.0001,0.019046006724238396,0.0001,0.01851959526538849,0.0001,0.003043493954464793
17,0.0001,0.019040556624531746,0.0001,0.018488386645913124,0.0001,0.002597964368760586
18,0.0001,0.01910649612545967,0.0001,0.01835145801305771,0.0001,0.002327904338017106
19,0.0001,0.019075866788625717,0.0001,0.01832018978893757,0.0001,0.0019144265679642558
20,0.0001,0.019056256860494614,0.0001,0.018200958147644997,0.0001,0.0017597033875063062
21,0.0001,0.019013460725545883,0.0001,0.018114717677235603,0.0001,0.00153747433796525
22,0.0001,0.01897531747817993,0.0001,0.018078360706567764,0.0001,0.0010800977470353246
23,0.0001,0.01902928575873375,0.0001,0.018053609877824783,0.0001,0.0007800129242241383
24,0.0001,0.019045529887080193,0.0001,0.01803933084011078,0.0001,0.0010950241703540087
25,0.0001,0.019057104364037514,0.0001,0.018024509772658348,0.0001,0.0009289441513828933
26,0.0001,0.01898980140686035,0.0001,0.017919346690177917,0.0001,0.0008712045382708311
27,0.0001,0.018948616459965706,0.0001,0.017912937328219414,0.0001,0.00023519514070358127
28,0.0001,0.01891920529305935,0.0001,0.017846060916781425,0.0001,0.00012727991270367056
29,0.0001,0.018885377794504166,0.0001,0.017737068235874176,0.0001,-0.0001294390094699338
30,0.0001,0.018887316808104515,0.0001,0.017721116542816162,0.0001,0.0007357391295954585
31,0.0001,0.01885741949081421,0.0001,0.017649594694375992,0.0001,0.00017543279682286084
